[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.AbstractJUnitTestClassProcessor.processTestClass(AbstractJUnitTestClassProcessor.java:66)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.SuiteTestClassProcessor.processTestClass(SuiteTestClassProcessor.java:51)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.lang.reflect.Method.invoke(Method.java:498)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:35)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:24)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ContextClassLoaderDispatch.dispatch(ContextClassLoaderDispatch.java:32)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ProxyDispatchAdapter$DispatchingInvocationHandler.invoke(ProxyDispatchAdapter.java:93)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     com.sun.proxy.$Proxy2.processTestClass(Unknown Source)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.worker.TestWorker.processTestClass(TestWorker.java:117)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.lang.reflect.Method.invoke(Method.java:498)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:35)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:24)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.remote.internal.hub.MessageHubBackedObjectConnection$DispatchWrapper.dispatch(MessageHubBackedObjectConnection.java:155)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.remote.internal.hub.MessageHubBackedObjectConnection$DispatchWrapper.dispatch(MessageHubBackedObjectConnection.java:137)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.remote.internal.hub.MessageHub$Handler.run(MessageHub.java:404)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.concurrent.ExecutorPolicy$CatchAndRecordFailures.onExecute(ExecutorPolicy.java:63)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.concurrent.ManagedExecutorImpl$1.run(ManagedExecutorImpl.java:46)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     org.gradle.internal.concurrent.ThreadFactoryImpl$ManagedThreadRunnable.run(ThreadFactoryImpl.java:55)
[02/03/21 18:13:14:983 GMT]  WARN db.LocalTransaction:     java.lang.Thread.run(Thread.java:748)
[02/03/21 18:13:14:983 GMT]  INFO storage.FileStorageAPIImpl: Metadata wrote on: /8/2/828b5e19-1dde-47eb-b2e3-1bf5b7eb92d0/fileAsset-metadata.json
[02/03/21 18:13:14:983 GMT]  INFO storage.FileMetadataAPIImpl:  `468512c0-423e-4f1a-b94c-7cf8b064260a` has these fields: `keywords,fileSize,author,width,contentType,content,height` 
[02/03/21 18:13:14:988 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[02/03/21 18:13:14:988 GMT]  INFO junit.RuleWatcher: >>> Test_Generate_Metadata_From_FileAssets[8: TestCase{langId=1, storageType=DB, testFile=test_image.svg, fileAssetContent=com.dotmarketing.portlets.contentlet.model.Contentlet@6a832cf5[map={owner=system, nullProperties=[wfExpireDate, wfPublishDate, wfActionAssign, wfActionId, wfActionComments, filterKey, whereToSend, wfNeverExpire, iWantTo, wfPublishTime, wfExpireTime], identifier=728a6ad4-940c-4c9a-9fcb-d5a7474b89de, fileName=test_image11614704214856.svg, modDate=Tue Mar 02 16:56:54 GMT 2021, _is_test_mode=true, languageId=1, description=test_image11614704214856, title=test_image11614704214856.svg, inode=e666b647-b95d-4400-a83c-87f7269385d3, fileAsset=/custom/assets/e/6/e666b647-b95d-4400-a83c-87f7269385d3/fileAsset/test_image11614704214856.svg, metaData={"content":"     image/svg+xml          \n","contentType":"image/svg+xml","fileSize":31150}, folder=eaa50a94-7fdc-4a3c-8a4c-d855fff4eaa7, __disable_workflow__=true, disabledWYSIWYG=[], sortOrder=0, modUser=system, host=8a7d5e23-da1e-420a-b4f0-471e7da8ea2d, stInode=33888b6f-7a8e-4069-b1b6-5c1aa9d0a48d},lowIndexPriority=false]}](com.dotcms.storage.FileMetadataAPITest) - starting...
[02/03/21 18:13:14:988 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[02/03/21 18:13:14:988 GMT]  INFO storage.FileMetadataAPIImpl:  `468512c0-423e-4f1a-b94c-7cf8b064260a` has these fields: `keywords,fileSize,author,width,contentType,content,height` 
[02/03/21 18:13:14:988 GMT]  INFO storage.StoragePersistenceProvider: Retrieving from storage: DB
[02/03/21 18:13:14:989 GMT]  WARN storage.FileStorageAPIImpl: Object identified by `/dotmetadata/com.dotcms.storage.StorageKey@7e5ee4c4` didn't exist in storage full-metadata will be generated.
[02/03/21 18:13:14:999 GMT]  WARN db.LocalTransaction: Transaction broken - Connection that started the transaction is not the same as the one who is commiting
[02/03/21 18:13:14:999 GMT]  WARN db.LocalTransaction:     java.lang.Thread.getStackTrace(Thread.java:1559)
[02/03/21 18:13:14:999 GMT]  WARN db.LocalTransaction:     com.dotmarketing.db.LocalTransaction.wrapReturnWithListeners(LocalTransaction.java:57)
[02/03/21 18:13:14:999 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.wrapInTransaction(DataBaseStoragePersistenceAPIImpl.java:95)
[02/03/21 18:13:14:999 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.pushFile(DataBaseStoragePersistenceAPIImpl.java:364)
[02/03/21 18:13:14:999 GMT]  WARN db.LocalTransaction:     com.dotcms.storage.DataBaseStoragePersistenceAPIImpl.pushObject(DataBaseStoragePersistenceAPIImpl.java:503)
